,,,,,,Arabic,,,,Translations,,,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,5,86,يَعۡقُوب (إِسۡرَائِيل),,,221.m4a,Jacob (Israel),,یعقوب (اسرائیل),,,,,,,,,,,,,,,,,,,,
noun,1,17,9,6,30,شُعَيۡب (مَدۡيَنَ),,,222.m4a,Shu’aib (Midian),,شعیب (مدین),,,,,,,,,,,,,,,,,,,,
noun,1,17,9,6,30,صَالِح (ثَمُود),,,223.m4a,Saleh (Thamud),,صالح (ثمود),,,,,,,,,,,,,,,,,,,,
noun,1,17,9,6,30,هُود (عَاد),,,224.m4a,Hud (‘Ad),,ہود (عاد),,,,,,,,,,,,,,,,,,,,
noun,1,17,9,7,195,مُوسٰى,,,225.m4a,Moses,,موسیٰ,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,7,195,عِيسَى ابۡنُ مَرۡيَم,,,226.m4a,"Jesus, son of Mary",,عیسیٰ بن مریم,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,8,53,هَارُونَ,,,227.m4a,Aaron,,ہارون,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,8,53,سُلَيۡمَان,,,228.m4a,Solomon,,سلیمان,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,8,53,دَاوٗد,,,229.m4a,David,,داؤد,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,11,74,فِرۡعَوۡن,,,230.m4a,Pharaoh,,مصر کے بادشاہوں کا لقب,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,11,74,هَامَان,,,231.m4a,Hamana,,ہامان,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,11,74,قَارُون,,,232.m4a,Qarun,,قارون,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,1,382,آيَة,آيات,,233.m4a,Sign/ verse,,آیت، نشانی,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,1,382,آيَات,,,234.m4a,Signs/ verses,,نشانیاں,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,3,33,أَنۡعَام,,,235.m4a,Cattle,,مویشی، گائے بکری وغیرہ,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,4,39,جَبَل,جِبال,,236.m4a,Mountain,,پہاڑ,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,4,39,جِبَال,,,237.m4a,Mountains,,پہاڑ,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,5,35,بَـحۡر,بِحار,,238.m4a,Sea,,دریا، سمندر,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,6,33,شَمۡس,شُموس,,239.m4a,Sun,,سورج,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,7,27,قَمَر,أقمار,,240.m4a,Moon,,چاند,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,8,80,لَيۡل,ليالي,,241.m4a,Night,,رات,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,9,57,نَهَار,نُهُر,,242.m4a,Daytime,,دن,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,10,461,أَرۡضِ,أَراضي,,243.m4a,Earth,,زمین,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,11,310,سَمَاء,سَمَاوات,,244.m4a,Heavens/ Sky,,آسمان,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,12,24,سَبع (سَبعة),,,245.m4a,seven,,سات,,,,,,,,,,,,,,,,,,,,
noun,1,18,9,13,29,رِيح,رياح,,246.m4a,wind,,ہوا,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,1,94,صَاحِب,أَصحَاب,,247.m4a,Companion/ inmate,,ساتھی,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,1,94,أَصۡحَاب,,,248.m4a,Companions/ inmates,,ساتھی,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,2,147,جَنَّة / جَنَّات,جِنَان,,249.m4a,Heaven/ Paradise,,جنت، باغ,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,3,26,جَهَنَّم,,,250.m4a,Hell Fire,,جہنم,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,5,13,ثَواب,,,251.m4a,Reward,,ثواب,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,6,322,عَذَاب,,,252.m4a,Punishment/ torment,,سخت دُکھ,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,7,17,نَعيم,,,253.m4a,of bliss & delight,,ہمیشہ خوشحال، ہمیشہ تروتازہ,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,8,16,سَعِير,,,254.m4a,blazing fire,,بھڑکتی آگ,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,9,72,أَلِيم,,,255.m4a,Painful,,دردناک، اَلم ناک,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,10,28,أَبَدًا,,,256.m4a,Forever. Ever,,ہمیشہ,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,11,54,نَهَر,أنهار,,257.m4a,River,,نہر,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,11,54,أَنۡهَٰر,,,258.m4a,Rivers,,نہریں,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,12,145,نَار,,,259.m4a,Fire/ Hell Fire,,آگ,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,13,36,وَيۡل,وَيلَات,,260.m4a,Woe unto,,ہلاکت,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,1,115,الۡآخِرَة,,,261.m4a,The Hereafter,,آٓخرت,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,2,70,قِيَامَة,,,262.m4a,Resurrection,,قیامت,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,3,47,سَاعَة,سَاعَات,,263.m4a,an hour/ day of Resurrection,,گھڑی، وقت,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,4,405,يَوۡم (أَيَّام),أَيَّام,,264.m4a,Day(s) (periods),,دن,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,4,405,يَوْم,أَيَّام,,265.m4a,"Day, Days",,دن,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,5,65,يَوۡمَئِذٍ,,,266.m4a,"that day, then",,اِس دن,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,6,52,أَجَل,آجَال,,267.m4a,Term,,مقررہ مدت,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,7,21,مُسَمَّى,مُسَمَّيات,,268.m4a,Fixed,,مقرر,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,8,28,مَصِيْر,,,269.m4a,destination,,لوٹنے کا ٹھکانہ,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,9,22,مَأْوٰی,,,270.m4a,"refuge, abode",,منزل / پناہ گاہ، ٹھکانہ,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,10,105,أَجۡر,أُجُور,,271.m4a,Reward,,مزدوری، ثواب,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,10,105,أُجُور,,,272.m4a,Rewards/ recompense,,مزدوری، ثواب,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,11,42,جَزَاء,,,273.m4a,Reward,,بدلہ,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,12,32,عَاقِبَة,عَوَاقِب,,274.m4a,End,,انجام,,,,,,,,,,,,,,,,,,,,
noun,1,19,10,13,20,عِقَاب,,,275.m4a,Retribution/ Punishment,,عذاب، جرم کی سزا,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,1,92,دِیْن,أديَان,,276.m4a,"Religion, law, judgement",,دین، شریعت، بدلہ,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,2,20,حِكۡمَة,حِكَم,,277.m4a,Wisdom,,حکمت، دانشمندی,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,3,43,حَمۡد,,,278.m4a,Praise,,تعریف، شکر,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,4,83,صَلٰوة (صَلَاةَ),صَلَوات,,279.m4a,Prayer,,نماز,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,5,32,زَكٰوة,زَكَا / زَكَوات,,280.m4a,(Zakat)Charity,,زکوٰۃ,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,6,247,حَقّ,حُقوق,,281.m4a,Truth/ right,,مطابق، ٹھیک، ثابت,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,7,26,بَاطِل,أَبَاطيل,,282.m4a,Falsehood,,غلط، ناحق,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,8,66,نُوْر,,,283.m4a,light,,روشنی,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,8,66,ظُلُمَات,,,284.m4a,darkness (es),,اندھیرا/ اندھیرے,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,9,119,مُبِين,,,285.m4a,Clear,,ظاہر، بیان کرنے والا,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,10,29,عَهۡد,عُهُود,,286.m4a,Covenant,,عہد، معاہدہ,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,11,25,مِيثَاقَ,مَواثيق,,287.m4a,Covenant,,عہد,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,12,88,مَلَك,مَلَائِكَة,,288.m4a,Angel,,فرشتہ,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,12,88,مَلَائِكَة,,,289.m4a,Angels,,فرشتے,,,,,,,,,,,,,,,,,,,,
noun,1,20,11,13,29,عَرَش,عُرُوش,,290.m4a,Throne,,شاہی تخت,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,1,147,إِلٰه,آلِهَة,,291.m4a,god/ deity,,معبود,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,1,147,آلِهَة,,,292.m4a,gods,,معبود,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,2,61,وَاحِد,وَاحِدَة,,293.m4a,One,,ایک,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,3,85,أَحَد,إِحْدٰی,,294.m4a,One,,اکیلا,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,4,261,كِتَاب,كُتُب,,295.m4a,Book(s),,کتاب,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,6,70,قُرْاٰن,,,296.m4a,The Quran,,قرآن,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,7,18,اَلتَّوۡرَاة,,,297.m4a,The Torah,,تورات,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,8,12,اَلۡإِنجِيل,,,298.m4a,The Gospel,,انجیل,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,8,40,شَرِيك,شُرَكاء,,299.m4a,Associate/ partner,,شریک، ساجھی,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,8,40,شُرَكَاء,,,300.m4a,Associates/ partnesr,,شریک، ساجھی,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,9,17,تَقْوٰى,,,301.m4a,Piety/ fear of Allah,,ڈرنا، بچنا,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,10,49,غَيۡب,,,302.m4a,Unseen,,پوشیدہ، غیرحاضر,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,11,42,كَلِمَة,كَلِمَات,,303.m4a,Word(s),,بات,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,12,26,شَهَادَة,شَهَادات,,304.m4a,Disclosed/ testimony,,گواہی، ظاہر، کھلی,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,13,56,شَهِيد,,,305.m4a,Witness,,گواہ,,,,,,,,,,,,,,,,,,,,
noun,1,21,11,13,56,شُهَدَاء,,,306.m4a,Witnesses,,گواہ,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,1,41,عَمَل,أَعمَال,,307.m4a,Deeds/ actions,,اعمال,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,1,41,أَعۡمَال,,,308.m4a,Deeds,,اعمال,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,2,31,حَسَنَة,حَسَنات,,309.m4a,Good/ Good deed(s),,نیکی، بھلائی,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,3,58,سَيِّئَة,سَيِّئَات,,310.m4a,Bad/ misdeed/ sin,,بُرائی، گناہ,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,3,58,سَيِّئَات,,,311.m4a,Evils/ Sins,,بُرائی، گناہ,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,4,186,خَيۡر,أَخيَار,,312.m4a,Good,,بہتر، بھلا، نیکی,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,5,27,شَرّ,شُرور,,313.m4a,Evil/ bad,,بُرائی,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,6,35,إِثۡم,آثَام,,314.m4a,Sin,,گناہ,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,7,37,ذَنۢب,ذُنُوب,,315.m4a,Sin,,گناہ,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,7,37,ذُنُوب,,,316.m4a,Sins,,گناہ,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,8,25,جُنَاح,,,317.m4a,Sin/ blame,,گناہ,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,9,31,حَرَام,,,318.m4a,Forbidden (haram),,ممنوع,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,10,39,اِسۡم,أَسمَاء,,319.m4a,Name,,نام,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,11,28,حَدِيث,أحَاديث,,320.m4a,Discourse/ Speech,,بات,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,12,25,بَأْس,,,321.m4a,Punishment;power;adversity,,سختی، آفت، لڑائی,,,,,,,,,,,,,,,,,,,,
noun,1,22,12,13,21,نَصِيْب,,,322.m4a,share/portion,,حصہ,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,1,84,فَضۡل,أفضَال,,323.m4a,grace,,مہربانی,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,2,50,نِعۡمَة,أَنْعُمْ,,324.m4a,favor / fovors,,انعام، فضل,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,3,34,آلَاء,,,325.m4a,Favors / Blessings/ marvels,,نعمتیں,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,4,30,طَيِّبة,طَيِّبات,,326.m4a,Good (thing),,پاک,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,4,30,طَيِّبَاتِ,,,327.m4a,Good things,,پاک,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,5,63,مَآء,,,328.m4a,water,,پانی,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,6,48,مُلۡك,أَملاك,,329.m4a,Dominion/ reign,,بادشاہت، غلبہ,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,7,37,سُلۡطَان,سَلاطين,,330.m4a,Authority/ warrant,,زور، حجت، سند، حکومت,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,8,19,فَوْز,,,331.m4a,success,,نجات، کامیابی,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,9,33,فَرِيق,فِرَق,,332.m4a,Party / group,,گروہ,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,10,53,جَمِيع,,,333.m4a,All / everybody,,سب، سارے,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,11,26,أَجْمَعُون,أَجۡمَعِينَ,,334.m4a,All / everybody,,سب کے سب,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,12,27,سَوَاء,,,335.m4a,Same / equal / straight,,برابر,,,,,,,,,,,,,,,,,,,,
noun,1,23,12,13,39,إِذۡن,أُذون,,336.m4a,Permission,,حکم، اجازت,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,1,35,أُمّ,أُمَّهَات,,337.m4a,mother,,ماں,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,2,117,أَبّ/أَبَتِ,آبَاء,,338.m4a,father,,باپ,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,2,117,آبَاء,,,339.m4a,ancestors,,باپ,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,3,76,زَوۡج,أَزواج,,340.m4a,husband,,شوہر، بیوی,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,3,76,أَزۡوَاج,,,341.m4a,Spouses,,شوہر، بیوی,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,4,57,رَجُل,رِجَال,,342.m4a,man,,مرد,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,4,57,رِجَال,,,343.m4a,men,,مرد,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,5,72,اِمۡرَأة,نِسَاء,,344.m4a,women,,عورت,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,5,72,نِسَاء,,,345.m4a,Women/ Wives,,عورتیں,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,6,56,وَلَد,أَولَاد,,346.m4a,son (of) / Own children,,لڑکا یا لڑکی,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,7,24,وَالِد,وَالِدَيْن,,347.m4a,parents,,باپ,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,8,32,ذُرِّيَّة,ذُرّيّات,,348.m4a,"descendants, children",,اولاد,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,9,41,اِبۡن,,,349.m4a,son,,بیٹا,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,10,22,بَنُون، بَنِين + أبْنَاء,,,350.m4a,sons / Own children,,بیٹے,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,12,29,إِخۡوَان,,,351.m4a,brothers & Sisters,,بھائی,,,,,,,,,,,,,,,,,,,,
noun,1,24,13,13,21,مَوۡلٰي,,,352.m4a,protector,,کارساز/  محافظ,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,1,72,وَجۡه,وُجُوه,,353.m4a,Face,,چہرہ,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,1,72,وُجُوه,,,354.m4a,Faces,,چہرے,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,2,47,أَعۡيُن,,,355.m4a,Eyes,,آنکھیں,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,3,48,بَصَر,أَبۡصَار,,356.m4a,Sights / vision,,نگاہیں,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,6,132,قَلۡب,قُلُوب,,357.m4a,Heart,,دل,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,6,132,قُلُوب,,,358.m4a,Hearts,,دل,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,7,44,صَدۡر,صُدُور,,359.m4a,Chest,,سینہ,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,8,17,بَطْن,بُطُون,,360.m4a,"belly, womb",,پیٹ، رِحم,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,9,120,يَد,أَيۡدِي,,361.m4a,Hands,,ہاتھ,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,11,293,نَفۡس,أَنفُس,,362.m4a,Soul,,جِی، جان,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,11,293,أَنفُس,,,363.m4a,Lives/ -selves,,جِانیں,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,12,21,رُوح,أَروَاح,,364.m4a,Spirit/ Soul,,رُوح,,,,,,,,,,,,,,,,,,,,
noun,1,25,13,13,29,قُوة,قِوَى,,365.m4a,Power (strength),,قوت,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,1,64,بَيۡت,بُيُوت,,366.m4a,House/ Home,,گھر,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,2,48,دَار,دِيَار,,367.m4a,Abode,,گھر,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,3,115,دُنۡيَا,,,368.m4a,This world/ Present life,,دنیا,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,4,176,سَبِيل,سُبُل,,369.m4a,Way(s),,راستہ,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,5,45,صِرَاط,,,370.m4a,Path,,راستہ,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,6,73,عَالَمِين,,,371.m4a,Worlds,,ساری مخلوقات,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,7,34,فِتۡنَة,فِتَن,,372.m4a,Trial/ Persecution,,آزمائش، مصیبت، فساد,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,8,57,قَرۡيَة,قُرَى,,373.m4a,Town/ Village,,بستی,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,9,86,مَال,أَمۡوَال,,374.m4a,Wealth,,مال,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,10,34,مَتَاع,أَمتِعَة,,375.m4a,Provision/ Enjoyment,,سامان، فائدہ، نفع,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,11,28,مَسۡجِد,مَسَاجِد,,376.m4a,Mosque(s),,مسجد,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,12,32,مَكَان,أَمَاكن,,377.m4a,Place/ In place of,,جگہ، مقام,,,,,,,,,,,,,,,,,,,,
noun,1,26,14,13,26,شَجَر,شَجَرَة,,378.m4a,tree,,درخت,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,1,64,أُمَّة,أُمَم,,379.m4a,Community / Communities,,جماعت، مدت,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,2,383,قَوۡم,أَقوَام,,380.m4a,People,,گروہ، جماعت,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,3,65,إِنسَان,,,381.m4a,human,,انسان,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,4,241,نَاس,,,382.m4a,People,,لوگ,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,6,18,ذَكَر,ذُكُور,,383.m4a,Male,,مَرد، نَر,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,7,30,أُنثَى,إِنَاث,,384.m4a,Female,,عورت، مادَہ,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,8,126,عَبۡد,عِبَاد,,385.m4a,Slave,,بندہ، غلام,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,8,126,عِبَاد,,,386.m4a,Slaves,,بندے,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,9,50,عَدُو,أَعدَاء,,387.m4a,Enemy,,دشمن,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,9,50,أَعۡدَاء,,,388.m4a,Enemies,,دشمن,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,10,21,کُفَّار,,,389.m4a,disbelivers,,کفار,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,11,52,مُجۡرِمِين,,,390.m4a,Guilty/ unrighteous,,گنہگار، قصوروار,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,12,30,مَلَأ,,,391.m4a,Leaders (chiefs),,بڑے لوگوں کی جماعت,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,13,86,وَلِيّ,أَولياء,,392.m4a,Gurdian/ supporter,,بچانے والا دوست، مددگار,,,,,,,,,,,,,,,,,,,,
noun,1,27,14,13,86,أَوۡلِيَاء,,,393.m4a,Gurdians/ supporters,,بچانے والا دوست، مددگار,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,1,14,دَابَة,دَواب,,394.m4a,moving creature,,چلنے والا، رینگنے والا (جاندار),,,,,,,,,,,,,,,,,,,,
noun,1,28,15,2,14,دَرَجَةٌ,دَرَجات,,395.m4a,"ranks, degrees",,بلندی، رتبہ,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,3,14,سُنَّة,سُنَن,,396.m4a,Way,,راستہ,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,4,13,شَفَاعة,,,397.m4a,intercession,,سفارش,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,5,14,عَدل,,,398.m4a,compensation,,برابری، انصاف,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,6,14,لَعنة,,,399.m4a,curse,,لعنت,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,7,14,ليتَ,,,400.m4a,"if only, whould that",,کاش!,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,8,14,مَدِينَةٌ,مَدَائِنُ,,401.m4a,City,,ہمیشہ کے لیے اقامت اختیار کیا ہوا شہر,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,8,14,ٱلۡمَدِينَة,,,402.m4a,Medina/ The city,,مدینہ منورہ,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,9,13,مَرَض,أمراض,,403.m4a,disease,,بیماری,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,10,14,مَقَام,مقامات,,404.m4a,standing place,,کھڑے ہونے کی جگہ,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,11,13,مَلِك,ملوك,,405.m4a,king,,بادشاہ,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,12,15,مِلَّة,مِلَل,,406.m4a,religion,,مذہب,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,13,17,نَبَأ,أنبَاء,,407.m4a,news,,خبر / خبریں,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,1,13,أَعمَى,عُميان,,408.m4a,blind,,نابینا,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,2,16,لَبٌّ,أَلبابٌ,,409.m4a,intellect,,عقل,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,3,15,بَرّ,,,410.m4a,"land, dutiful",,خشکی,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,4,15,بَلاغ,,,411.m4a,"to convey, notification",,پہنچانا، پیغام,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,5,17,بَنات,,,412.m4a,daughters,,بیٹیاں,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,6,15,بُشرى,,,413.m4a,good news,,خوشخبری,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,7,27,بَاب,أبواب,,414.m4a,"gate, door",,دروازہ / دروازے,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,8,17,تَأويل,تأويلات,,415.m4a,interpreation,,کسی چیز یا بات کا آخری انجام,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,9,16,تُراب,,,416.m4a,dust,,مٹی,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,10,13,ثَلاثة,,,417.m4a,three,,تین,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,11,16,ثَمَرات,,,418.m4a,fruits,,پھل,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,12,14,حَدٌّ,حُدُودٌ,,419.m4a,limits,,کنارہ، انتہا، حد,,,,,,,,,,,,,,,,,,,,
noun,1,28,15,13,17,حُسنى,,,420.m4a,the best,,سب سے اچھا، بہترین,,,,,,,,,,,,,,,,,,,,
noun,1,29,16,1,105,فَعَلَ,یَفْعَلُ,,421.m4a,to do,,کرنا,,,,,,,,,,,,,,,,,,,,
verb,1,29,16,2,29,فَتَحَ,يَفتَحُ,,422.m4a,To open/ judge/ to give victory,,کھولنا، فتح کرنا,,,,,,,,,,,,,,,,,,,,
verb,1,29,16,3,65,بَعَثَ,يَبعَثُ,,423.m4a,To send/ to resurrect,,بھیجنا، اٹھا کھڑا کرنا,,,,,,,,,,,,,,,,,,,,
verb,1,29,16,4,346,جَعَلَ,يَجعَلُ,,424.m4a,to Make,,بنانا,,,,,,,,,,,,,,,,,,,,
verb,1,29,16,5,40,جَمَعَ,يَجمَعُ,,425.m4a,to Gather,,جمع کرنا,,,,,,,,,,,,,,,,,,,,
verb,1,29,16,6,37,ذَهَبَ,يَذهَبُ,,426.m4a,to go,,جانا,,,,,,,,,,,,,,,,,,,,
verb,1,29,16,7,28,رَفَعَ,يَرفَعُ,,427.m4a,to Raise,,بلند کرنا، اٹھانا,,,,,,,,,,,,,,,,,,,,
verb,1,29,16,8,57,سَحَرَ,يَسحَرُ,,428.m4a,to Enchant/ Bewitch,,جادو کرنا,,,,,,,,,,,,,,,,,,,,
